id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.164,geom,108,108,108 - Rua do Bojador,B,8,14,0.57,active,2025-02-14T18:10:31Z,"[-9.09235, 38.774289, -9.09235, 38.774289]",-9.09235,38.774289
emel_gira_stations.161,geom,103,103,103 - Jardim da Água,B,1,20,0.05,active,2025-02-14T18:10:30Z,"[-9.095019, 38.761218, -9.095019, 38.761218]",-9.095019,38.761218
emel_gira_stations.174,geom,481,481,481 - Campo Grande / Museu da Cidade,B,3,20,0.15,active,2025-02-14T18:10:33Z,"[-9.156169, 38.758207, -9.156169, 38.758207]",-9.156169,38.758207
emel_gira_stations.181,geom,430,430,430 - Av. Barbosa Du Bocage / Rua Arco do Cego,B,0,20,0.0,active,2025-02-14T18:10:35Z,"[-9.14329, 38.74081, -9.14329, 38.74081]",-9.14329,38.74081
emel_gira_stations.166,geom,110,110,110 - Rua de Moscavide,B,15,18,0.83,active,2025-02-14T18:10:31Z,"[-9.097068, 38.778466, -9.097068, 38.778466]",-9.097068,38.778466
emel_gira_stations.175,geom,464,464,464 - Av. da Igreja / Rua Afonso Lopes Vieira,B,2,14,0.14,active,2025-02-14T18:10:33Z,"[-9.148427, 38.75165, -9.148427, 38.75165]",-9.148427,38.75165
emel_gira_stations.176,geom,414,414,414 - Av. Duque de Ávila / Rua Pinheiro Chagas,B,5,19,0.26,active,2025-02-14T18:10:33Z,"[-9.151, 38.735, -9.151, 38.735]",-9.151,38.735
emel_gira_stations.185,geom,460,460,460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,B,14,15,0.93,active,2025-02-14T18:10:36Z,"[-9.13749, 38.75176, -9.13749, 38.75176]",-9.13749,38.75176
emel_gira_stations.190,geom,453,453,453 - Av. Roma / Av. EUA,B,11,14,0.79,active,2025-02-14T18:10:38Z,"[-9.14207, 38.74873, -9.14207, 38.74873]",-9.14207,38.74873
emel_gira_stations.229,geom,225,225,225 - Martim Moniz,A,1,16,0.06,active,2025-02-14T18:10:51Z,"[-9.13694, 38.71526, -9.13694, 38.71526]",-9.13694,38.71526
emel_gira_stations.173,geom,457,457,457 - Rua Aboim Ascensão,B,2,10,0.2,active,2025-02-14T18:10:32Z,"[-9.14722, 38.74975, -9.14722, 38.74975]",-9.14722,38.74975
emel_gira_stations.189,geom,413,413,413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,B,5,10,0.5,active,2025-02-14T18:10:37Z,"[-9.15425, 38.73432, -9.15425, 38.73432]",-9.15425,38.73432
emel_gira_stations.195,geom,463,463,463 - Campo Grande / Av. da Igreja,B,1,10,0.1,active,2025-02-14T18:10:39Z,"[-9.14951, 38.75243, -9.14951, 38.75243]",-9.14951,38.75243
emel_gira_stations.234,geom,218,218,218 - Cais do Sodré,A,16,22,0.73,active,2025-02-14T18:10:52Z,"[-9.14471, 38.70617, -9.14471, 38.70617]",-9.14471,38.70617
emel_gira_stations.186,geom,472,472,472 - Rua Marquês Soveral / ES Padre António Vieira,B,10,14,0.71,active,2025-02-14T18:10:36Z,"[-9.13608, 38.75784, -9.13608, 38.75784]",-9.13608,38.75784
emel_gira_stations.191,geom,473,473,473 - Av. do Brasil / Av. de Roma,B,5,14,0.36,active,2025-02-14T18:10:38Z,"[-9.14697, 38.75643, -9.14697, 38.75643]",-9.14697,38.75643
emel_gira_stations.235,geom,216,216,216 - Praça D. Luís I,A,19,21,0.9,active,2025-02-14T18:10:52Z,"[-9.14655, 38.70663, -9.14655, 38.70663]",-9.14655,38.70663
emel_gira_stations.194,geom,474,474,474 - Av. do Brasil / Av. Rio de Janeiro,A,3,15,0.2,active,2025-02-14T18:10:39Z,"[-9.1409, 38.75832, -9.1409, 38.75832]",-9.1409,38.75832
emel_gira_stations.244,geom,433,433,433 - Av. Paris / Av. Almirante Reis,B,6,14,0.43,active,2025-02-14T18:10:54Z,"[-9.13409, 38.74095, -9.13409, 38.74095]",-9.13409,38.74095
emel_gira_stations.12,geom,552,552,552 - Alameda das Linhas de Torres / Hospital Puli,A,7,12,0.58,active,2025-02-14T18:11:02Z,"[-9.157335, 38.766075, -9.157335, 38.766075]",-9.157335,38.766075
emel_gira_stations.196,geom,407,407,407 - Praça Duque de Saldanha,A,1,17,0.06,active,2025-02-14T18:10:39Z,"[-9.14446, 38.73434, -9.14446, 38.73434]",-9.14446,38.73434
